대륙,국적,성별,총합계,사증면제,관광통과,일시취재,단기방문,단기취업,문화예술,유학,기술연수,일반연수,취재,종교,주재,기업투자,무역경영,구직,교수,회화,연구,기술지도,전문직업,예술흥행,특정활동,계절근로,비전문취업,선원취업,방문동거,거주,동반,재외동포,영주,결혼이민,기타,관광취업,방문취업,관광상륙,조건부입국허가,기타
아시아주,인도네시아,총계,"34,899",,361,,"2,076",4,,"1,405",76,256,,60,13,15,8,111,21,3,46,2,6,30,216,,"21,998","5,921",110,152,377,211,195,856,96,,,14,,260
아시아주,인도네시아,남성,"30,734",,304,,"1,433",4,,583,55,80,,15,10,10,7,33,15,,30,2,6,2,140,,"21,348","5,920",28,62,119,176,25,99,73,,,5,,150
아시아주,인도네시아,여성,"4,165",,57,,643,,,822,21,176,,45,3,5,1,78,6,3,16,,,28,76,,650,1,82,90,258,35,170,757,23,,,9,,110
아시아주,카자흐스탄,총계,"30,104","8,318",3,,232,1,,647,6,124,1,,,9,4,60,4,1,6,,,6,54,,38,,"4,061",97,63,"6,449",149,371,"3,413",,"5,728",,,259
아시아주,카자흐스탄,남성,"17,199","5,601",2,,127,,,204,6,41,1,,,7,4,18,,,4,,,3,28,,34,,"1,862",34,23,"3,399",41,24,"2,172",,"3,411",,,153
아시아주,카자흐스탄,여성,"12,905","2,717",1,,105,1,,443,,83,,,,2,,42,4,1,2,,,3,26,,4,,"2,199",63,40,"3,050",108,347,"1,241",,"2,317",,,106
아시아주,일본,총계,"27,764",25,"1,830",,198,779,4,"1,457",,"1,826",41,42,179,"1,685",126,84,77,144,203,10,9,212,356,,,,285,496,"1,111",695,"7,499","7,653",8,95,,1,,634
아시아주,일본,남성,"7,294",16,849,,151,760,3,251,,188,39,23,161,"1,641",121,15,47,27,193,10,9,72,198,,,,105,150,299,171,689,803,4,11,,,,288
아시아주,일본,여성,"20,470",9,981,,47,19,1,"1,206",,"1,638",2,19,18,44,5,69,30,117,10,,,140,158,,,,180,346,812,524,"6,810","6,850",4,84,,1,,346
아시아주,미얀마,총계,"25,302",,265,,767,1,,737,33,346,,72,,4,1,134,3,,15,,,1,48,,"20,747",803,43,345,41,,26,238,484,,,,,148
